https://www.nrel.gov/grid/solar-resource/spectra-wehrli.html
 	  nm	  W/sm/nm   W/sm
    1087.5     0.614  1.010E+3
    1092.5     0.612  1.013E+3
    1097.5     0.599  1.016E+3
    1102.5     0.608  1.019E+3
    1107.5     0.601  1.022E+3
    1112.5     0.603  1.025E+3
    1117.5     0.589  1.028E+3
    1122.5     0.579  1.031E+3
    1127.5     0.569  1.034E+3
    1132.5     0.566  1.037E+3
    1137.5     0.563  1.039E+3
    1142.5     0.557  1.042E+3
    1147.5     0.556  1.045E+3
    1152.5     0.545  1.048E+3
    1157.5     0.554  1.051E+3
    1162.5     0.540  1.053E+3
    1167.5     0.530  1.056E+3
    1172.5     0.533  1.059E+3
    1177.5     0.525  1.061E+3
    1182.5     0.514  1.064E+3
    1187.5     0.512  1.066E+3
    1192.5     0.511  1.069E+3
    1197.5     0.502  1.071E+3
    1202.5     0.496  1.074E+3
    1207.5     0.494  1.076E+3
    1212.5     0.489  1.079E+3
    1217.5     0.500  1.081E+3
    1222.5     0.481  1.084E+3
    1227.5     0.481  1.086E+3
    1232.5     0.484  1.089E+3
    1237.5     0.477  1.091E+3
    1242.5     0.477  1.093E+3
    1247.5     0.466  1.096E+3
    1252.5     0.474  1.098E+3
    1257.5     0.463  1.100E+3
    1262.5     0.444  1.103E+3
    1267.5     0.438  1.105E+3
    1272.5     0.439  1.107E+3
    1277.5     0.453  1.109E+3
    1282.5     0.435  1.111E+3
    1287.5     0.437  1.114E+3
    1292.5     0.442  1.116E+3
    1297.5     0.438  1.118E+3
    1302.5     0.438  1.120E+3
    1307.5     0.429  1.122E+3
    1312.5     0.419  1.124E+3
    1317.5     0.416  1.126E+3
    1322.5     0.416  1.129E+3
    1327.5     0.411  1.131E+3
    1332.5     0.405  1.133E+3
    1337.5     0.400  1.135E+3
    1342.5     0.398  1.137E+3
    1347.5     0.394  1.139E+3
    1352.5     0.387  1.140E+3
    1357.5     0.382  1.142E+3
    1362.5     0.378  1.144E+3
    1367.5     0.370  1.146E+3
    1372.5     0.369  1.148E+3
    1377.5     0.368  1.150E+3
    1382.5     0.364  1.152E+3
    1387.5     0.364  1.153E+3
    1392.5     0.358  1.155E+3
    1397.5     0.357  1.157E+3
    1402.5     0.353  1.159E+3
    1407.5     0.350  1.161E+3
    1412.5     0.346  1.162E+3 
    1417.5     0.344  1.164E+3
    1422.5     0.343  1.166E+3
    1427.5     0.348  1.167E+3
    1432.5     0.337  1.169E+3
    1437.5     0.331  1.171E+3
    1442.5     0.327  1.172E+3
    1447.5     0.318  1.174E+3
    1452.5     0.323  1.176E+3
    1457.5     0.307  1.177E+3
    1462.5     0.317  1.179E+3
    1467.5     0.311  1.180E+3
    1472.5     0.311  1.182E+3
    1477.5     0.307  1.183E+3
    1482.5     0.303  1.185E+3
    1487.5     0.298  1.186E+3
    1492.5     0.303  1.188E+3
    1497.5     0.300  1.189E+3
    1502.5     0.296  1.191E+3
    1507.5     0.295  1.192E+3
    1512.5     0.290  1.194E+3
    1517.5     0.290  1.195E+3
    1522.5     0.286  1.197E+3
    1527.5     0.290  1.198E+3
    1532.5     0.282  1.200E+3
    1537.5     0.274  1.201E+3
    1542.5     0.275  1.202E+3
    1547.5     0.274  1.204E+3
    1552.5     0.273  1.205E+3
    1557.5     0.272  1.206E+3
    1562.5     0.269  1.208E+3
    1567.5     0.263  1.209E+3
    1572.5     0.260  1.210E+3
    1577.5     0.259  1.212E+3
    1582.5     0.255  1.213E+3
    1587.5     0.252  1.214E+3
    1592.5     0.246  1.215E+3
    1597.5     0.246  1.217E+3
    1602.5     0.247  1.218E+3
    1607.5     0.242  1.219E+3
    1612.5     0.244  1.220E+3
    1617.5     0.243  1.222E+3
    1622.5     0.240  1.223E+3
    1627.5     0.244  1.224E+3
    1632.5     0.241  1.225E+3
    1637.5     0.237  1.226E+3
    1642.5     0.234  1.228E+3
    1647.5     0.235  1.229E+3
    1652.5     0.234  1.230E+3
    1657.5     0.234  1.231E+3
    1662.5     0.233  1.232E+3
    1667.5     0.229  1.233E+3
    1672.5     0.228  1.234E+3
    1677.5     0.220  1.236E+3
    1682.5     0.221  1.237E+3
    1687.5     0.219  1.238E+3
    1692.5     0.219  1.239E+3
    1697.5     0.214  1.240E+3
    1702.5     0.217  1.241E+3
    1707.5     0.212  1.242E+3
    1712.5     0.203  1.243E+3
    1717.5     0.212  1.244E+3
    1722.5     0.205  1.245E+3
    1727.5     0.196  1.246E+3
    1732.5     0.190  1.247E+3
    1737.5     0.189  1.248E+3
    1742.5     0.191  1.249E+3
    1747.5     0.185  1.250E+3
    1752.5     0.187  1.251E+3
    1757.5     0.189  1.252E+3
    1762.5     0.184  1.253E+3
    1767.5     0.182  1.254E+3
    1772.5     0.177  1.255E+3
    1777.5     0.173  1.255E+3
    1782.5     0.171  1.256E+3
    1787.5     0.170  1.257E+3
    1792.5     0.169  1.258E+3
    1797.5     0.173  1.259E+3
    1802.5     0.169  1.260E+3
    1807.5     0.168  1.261E+3
    1812.5     0.160  1.261E+3
    1817.5     0.160  1.262E+3
    1822.5     0.159  1.263E+3
    1827.5     0.156  1.264E+3
    1832.5     0.156  1.264E+3
    1837.5     0.150  1.265E+3
    1842.5     0.153  1.266E+3
    1847.5     0.151  1.267E+3
    1852.5     0.148  1.267E+3
    1857.5     0.145  1.268E+3
    1862.5     0.143  1.269E+3
    1867.5     0.143  1.270E+3
    1872.5     0.135  1.270E+3
    1877.5     0.135  1.271E+3
    1882.5     0.140  1.272E+3
    1887.5     0.138  1.272E+3
    1892.5     0.137  1.273E+3
    1897.5     0.138  1.274E+3
    1902.5     0.133  1.274E+3
    1907.5     0.136  1.275E+3
    1912.5     0.138  1.276E+3
    1917.5     0.136  1.276E+3
    1922.5     0.134  1.277E+3
    1927.5     0.132  1.278E+3
    1932.5     0.132  1.278E+3
    1937.5     0.131  1.279E+3
    1942.5     0.129  1.280E+3
    1947.5     0.127  1.280E+3
    1952.5     0.126  1.281E+3
    1957.5     0.122  1.282E+3
    1962.5     0.126  1.282E+3
    1967.5     0.125  1.283E+3
    1972.5     0.125  1.284E+3
    1977.5     0.129  1.284E+3
    1982.5     0.125  1.285E+3
    1987.5     0.123  1.285E+3
    1992.5     0.121  1.286E+3
    1997.5     0.123  1.287E+3
    2002.5     0.116  1.287E+3
